UDI,Product ID,Nombre_Producto,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
1,M14860,Producto 7004,Medio,"298,1","308,6",1551,"42,8",0,0,No Failure
2,L47181,Producto 1004,Bajo,"298,2","308,7",1408,"46,3",3,0,No Failure
3,L47182,Producto 1005,Bajo,"298,1","308,5",1498,"49,4",5,0,No Failure
4,L47183,Producto 1006,Bajo,"298,2","308,6",1433,"39,5",7,0,No Failure
5,L47184,Producto 1007,Bajo,"298,2","308,7",1408,40,9,0,No Failure
6,M14865,Producto 7005,Medio,"298,1","308,6",1425,"41,9",11,0,No Failure
7,L47186,Producto 1008,Bajo,"298,1","308,6",1558,"42,4",14,0,No Failure
8,L47187,Producto 1009,Bajo,"298,1","308,6",1527,"40,2",16,0,No Failure
9,M14868,Producto 7006,Medio,"298,3","308,7",1667,"28,6",18,0,No Failure
10,M14869,Producto 7007,Medio,"298,5",309,1741,28,21,0,No Failure
11,H29424,Producto 001,Alto,"298,4","308,9",1782,"23,9",24,0,No Failure
12,H29425,Producto 002,Alto,"298,6","309,1",1423,"44,3",29,0,No Failure
13,M14872,Producto 7008,Medio,"298,6","309,1",1339,"51,1",34,0,No Failure
14,M14873,Producto 7009,Medio,"298,6","309,2",1742,30,37,0,No Failure
15,L47194,Producto 1010,Bajo,"298,6","309,2",2035,"19,6",40,0,No Failure
16,L47195,Producto 1011,Bajo,"298,6","309,2",1542,"48,4",42,0,No Failure
17,M14876,Producto 7010,Medio,"298,6","309,2",1311,"46,6",44,0,No Failure
18,M14877,Producto 7011,Medio,"298,7","309,2",1410,"45,6",47,0,No Failure
19,H29432,Producto 003,Alto,"298,8","309,2",1306,"54,5",50,0,No Failure
20,M14879,Producto 7012,Medio,"298,9","309,3",1632,"32,5",55,0,No Failure
21,H29434,Producto 004,Alto,"298,9","309,3",1375,"42,7",58,0,No Failure
22,L47201,Producto 1012,Bajo,"298,8","309,3",1450,"44,8",63,0,No Failure
23,M14882,Producto 7013,Medio,"298,9","309,3",1581,"30,7",65,0,No Failure
24,L47203,Producto 1013,Bajo,299,"309,4",1758,"25,7",68,0,No Failure
25,M14884,Producto 7014,Medio,299,"309,4",1561,"37,3",70,0,No Failure
26,L47205,Producto 1014,Bajo,299,"309,5",1861,"23,3",73,0,No Failure
27,L47206,Producto 1015,Bajo,"299,1","309,5",1512,39,75,0,No Failure
28,H29441,Producto 005,Alto,"299,1","309,4",1811,"24,6",77,0,No Failure
29,L47208,Producto 1016,Bajo,"299,1","309,4",1439,"44,2",82,0,No Failure
30,L47209,Producto 1017,Bajo,299,"309,4",1693,"30,1",84,0,No Failure
31,M14890,Producto 7015,Medio,"299,1","309,5",1339,"48,2",86,0,No Failure
32,L47211,Producto 1018,Bajo,299,"309,4",1798,"25,5",89,0,No Failure
33,L47212,Producto 1019,Bajo,299,"309,4",1419,"48,3",91,0,No Failure
34,L47213,Producto 1020,Bajo,"298,9","309,3",1665,"32,5",93,0,No Failure
35,M14894,Producto 7016,Medio,"298,8","309,1",1559,"34,7",95,0,No Failure
36,M14895,Producto 7017,Medio,"298,8","309,2",1452,"48,6",98,0,No Failure
37,M14896,Producto 7018,Medio,"298,9","309,2",1581,"36,7",101,0,No Failure
38,L47217,Producto 1021,Bajo,"298,8","309,1",1439,"39,2",104,0,No Failure
39,H29452,Producto 006,Alto,"298,9","309,2",1379,"50,7",106,0,No Failure
40,L47219,Producto 1022,Bajo,"298,8","309,1",1350,"52,5",111,0,No Failure
41,L47220,Producto 1023,Bajo,"298,8","309,1",1362,"45,4",113,0,No Failure
42,L47221,Producto 1024,Bajo,"298,8","309,1",1368,"50,8",115,0,No Failure
43,M14902,Producto 7019,Medio,"298,8","309,1",1368,"49,1",117,0,No Failure
44,H29457,Producto 007,Alto,"298,8","309,2",1372,"48,5",120,0,No Failure
45,M14904,Producto 7020,Medio,"298,8","309,1",1472,"47,5",125,0,No Failure
